taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5219571	Cercopithecus erythrogaster Gray, 1866	5219571	Cercopithecus erythrogaster Gray, 1866	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Cercopithecus	2436567	Cercopithecus erythrogaster	5219571	EN
4267301	Otolemur crassicaudatus kirkii (Gray, 1865)	4267301	Otolemur crassicaudatus kirkii (Gray, 1865)	7	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Galagidae	3239554	Otolemur	2436509	Otolemur crassicaudatus	8978926	LC
7262041	Macaca sinica sinica	7262041	Macaca sinica sinica	14	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Macaca	2436602	Macaca sinica	2436613	EN
4266915	Cebus albifrons aequatorialis J.A.Allen, 1914	8075047	Cebus aequatorialis J.A.Allen, 1914	31	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cebidae	9621	Cebus	2436635	Cebus aequatorialis	8075047	CR
6075598	Colobus guereza occidentalis (de Rochebrune, 1887)	6075598	Colobus guereza occidentalis (de Rochebrune, 1887)	145	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Colobus	5963043	Colobus guereza	5963045	LC
7906704	Sapajus cay (Illiger, 1815)	7906704	Sapajus cay (Illiger, 1815)	51	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cebidae	9621	Sapajus	4827386	Sapajus cay	7906704	LC
7438378	Cercocebus lunulatus (Temminck, 1853)	7438378	Cercocebus lunulatus (Temminck, 1853)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Cercocebus	2436543	Cercocebus lunulatus	7438378	EN
7785578	Sapajus libidinosus (Spix, 1823)	7785578	Sapajus libidinosus (Spix, 1823)	112	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cebidae	9621	Sapajus	4827386	Sapajus libidinosus	7785578	NT
9584627	Plecturocebus hoffmannsi (Thomas, 1908)	9584627	Plecturocebus hoffmannsi (Thomas, 1908)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Pitheciidae	5486	Plecturocebus	8755067	Plecturocebus hoffmannsi	9584627	LC
4267223	Semnopithecus priam Blyth, 1844	4267223	Semnopithecus priam Blyth, 1844	230	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Semnopithecus	2436563	Semnopithecus priam	4267223	NT
2436613	Macaca sinica (Linnaeus, 1771)	2436613	Macaca sinica (Linnaeus, 1771)	339	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Macaca	2436602	Macaca sinica	2436613	EN
4266879	Saguinus fuscicollis weddelli (Deville, 1849)	9530430	Leontocebus weddelli (Deville, 1849)	48	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Callitrichidae	9620	Leontocebus	5428933	Leontocebus weddelli	9530430	LC
7874997	Eulemur flavifrons (Gray, 1867)	7874997	Eulemur flavifrons (Gray, 1867)	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Lemuridae	5485	Eulemur	2436417	Eulemur flavifrons	7874997	CR
4266892	Saguinus fuscicollis illigeri (Pucheran, 1845)	9278135	Leontocebus illigeri (Pucheran, 1845)	4	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Callitrichidae	9620	Leontocebus	5428933	Leontocebus illigeri	9278135	NT
5219573	Cercopithecus nictitans (Linnaeus, 1766)	5219573	Cercopithecus nictitans (Linnaeus, 1766)	36	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Cercopithecus	2436567	Cercopithecus nictitans	5219573	NT
