,rank,class_name,space_number,synonym,name,author,year,father
2110,species,"Opolemur thomasi Forsyth Major, 1894 ",26,1,Opolemur thomasi Forsyth Major,, 1894 ,Cheirogaleus É. Geoffroy Saint-Hilaire
2111,genus,"Microcebus É. Geoffroy Saint-Hilaire, 1834 ",22,0,Microcebus É. Geoffroy Saint-Hilaire,, 1834 ,Cheirogaleidae Gray
2112,genus,"Azema Gray, 1870 ",24,1,Azema Gray,, 1870 ,Cheirogaleidae Gray
2113,genus,"Gliscebus Lesson, 1840 ",24,1,Gliscebus Lesson,, 1840 ,Cheirogaleidae Gray
2114,genus,"Murilemur Gray, 1870 ",24,1,Murilemur Gray,, 1870 ,Cheirogaleidae Gray
2115,genus,"Myocebus Wagner, 1841 ",24,1,Myocebus Wagner,, 1841 ,Cheirogaleidae Gray
2116,genus,"Myscebus Lesson, 1840 ",24,1,Myscebus Lesson,, 1840 ,Cheirogaleidae Gray
2117,genus,"Scartes Swainson, 1835 ",24,1,Scartes Swainson,, 1835 ,Cheirogaleidae Gray
2118,species,"Microcebus arnholdi Louis Jr., Engberg, McGuire, McCormick, Randriamampionona, Ranaivoarisoa, Bailey et al., 2008 ",24,0,Microcebus arnholdi Louis Jr.,, 2008 ,Microcebus É. Geoffroy Saint-Hilaire
2119,species,"Microcebus berthae Rasoloarison, Goodman & Ganzhorn, 2000 ",24,0,Microcebus berthae Rasoloarison,, 2000 ,Microcebus É. Geoffroy Saint-Hilaire
2120,species,"Microcebus bongolavensis Olivieri, Zimmermann, Randrianambinina, Rassoloharijaona, Rakotondravony, Gsuchanski et al., 2006 ",24,0,Microcebus bongolavensis Olivieri,, 2006 ,Microcebus É. Geoffroy Saint-Hilaire
2121,species,"Microcebus boraha Hotaling, Foley, Lawrence, Bocanegra, Blanco et al., 2016 ",24,0,Microcebus boraha Hotaling,, 2016 ,Microcebus É. Geoffroy Saint-Hilaire
2122,species,"Microcebus danfossi Olivieri, Zimmermann, Randrianambinina, Rassoloharijaona, Rakotondravony, Gsuchanski et al., 2006 ",24,0,Microcebus danfossi Olivieri,, 2006 ,Microcebus É. Geoffroy Saint-Hilaire
2123,species,"Microcebus ganzhorni Hotaling, Foley, Lawrence, Bocanegra, Blanco et al., 2016 ",24,0,Microcebus ganzhorni Hotaling,, 2016 ,Microcebus É. Geoffroy Saint-Hilaire
2124,species,"Microcebus gerpi Radespiel, Ratsimbazafy, Rasoloharijaona, Raveloson, Andriaholinirina, Rakotondravony et al., 2011 ",24,0,Microcebus gerpi Radespiel,, 2011 ,Microcebus É. Geoffroy Saint-Hilaire
